"Year","Class","Name","Gender","Mark","Event","State"
"2013","2A","Daesha Rogers, American Heritage (Plantation), 4:59.39","Girls"," 4:59.39","1600m","Florida"
"2013","1A","Stefanie Kurgatt, Maclay (Tallahassee), 05:06.3","Girls"," 05:06.3","1600m","Florida"
"2014","4A","Sinclaire Johnson, Lake Brantley (Altamonte Springs), 5:01.49","Girls"," 5:01.49","1600m","Florida"
"2014","3A","Emily Harding, Sarasota, 4:51.61","Girls"," 4:51.61","1600m","Florida"
"2014","2A","Julia Montgomery, Pine Crest (Fort Lauderdale), 5:03.34","Girls"," 5:03.34","1600m","Florida"
"2014","1A","Sarah Candiano, Evangelical Christian (Fort Myers), 5:04.79","Girls"," 5:04.79","1600m","Florida"
"2015","4A","Sinclaire Johnson, Lake Brantley (Altamonte Springs), 4:59:93","Girls"," 4:59:93","1600m","Florida"
"2015","3A","Kristlin Gear, Fort Myers High School 05:00.1","Girls"," 05:00.1","1600m","Florida"
"2015","2A","Caitlin Collier, Bolles, 4:59:60","Girls"," 4:59:60","1600m","Florida"
"2015","1A","Sarah Candiano, Evangelical Christian (Fort Myers), 5:02.24","Girls"," 5:02.24","1600m","Florida"
"2016","4A","Baile Hertenstein, Riverview, 5:05.14","Girls"," 5:05.14","1600m","Florida"
"2016","3A","Kristlin Gear, Fort Myers, 5:01.32","Girls"," 5:01.32","1600m","Florida"
"2016","2A","Caitlin Collier, Bolles (Jacksonville), 5:02.59","Girls"," 5:02.59","1600m","Florida"
"2016","1A","Hannah Brookover, Calvary Christian (Clearwater), 5:06.66","Girls"," 5:06.66","1600m","Florida"
"2017","4A","Baily Hertenstein, Riverview, 4:54.55","Girls"," 4:54.55","1600m","Florida"
"2017","3A","Kristlin Gear, Fort Myers, 4:56.04","Girls"," 4:56.04","1600m","Florida"
"2017","2A","Caitlin Collier, Bolles (Jacksonville), 4:50.48","Girls"," 4:50.48","1600m","Florida"
"2017","1A","Grace Blair, Oak Hall (Gainesville), 5:03.86","Girls"," 5:03.86","1600m","Florida"
"2018","4A","Rafaella Gibbons, Winter Park, 4:56.64","Girls"," 4:56.64","1600m","Florida"
"2018","3A","Valarie Lastra, Mater Academy (Hialeah Gardens), 4:52.74","Girls"," 4:52.74","1600m","Florida"
"2018","2A","Caitlin Collier, Bolles (Jacksonville), 4:49.47","Girls"," 4:49.47","1600m","Florida"
"2018","1A","Grace Blair, Oak Hall (Gainesville), 5:08.74","Girls"," 5:08.74","1600m","Florida"
"2019","4A","Alyssa Hendrix, Riverview (Riverview), 04:53.7","Girls"," 04:53.7","1600m","Florida"
"2019","3A","Valarie Lastra, Mater Academy (Hialeah Gardens), 4:50.62","Girls"," 4:50.62","1600m","Florida"
"2019","2A","Natalie Varela, Gulliver Prep (Pinecrest), 04:57.6","Girls"," 04:57.6","1600m","Florida"
"2019","1A","Jessica Edwards, Canterbury (Fort Myers), 05:06.8 ","Girls"," 05:06.8 ","1600m","Florida"
"1987","2A","Gion Enzor, Havana Northside, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1987","A","Tena Hauge, Mount Dora Bible, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1988","4A","Maria Galloni, Brandon, 5’9”","Girls"," 5’9”","High Jump","Florida"
"1988","3A","Danielle Saunders, Forest (Ocala), 5’7”","Girls"," 5’7”","High Jump","Florida"
"1987","2A","Gion Enzor, Havana Northside, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1987","A","Jennifer Garvin, Westminster Academy (Fort Lauderdale), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1989","4A","Janice Donaldson, Miami Killian, 5’8”","Girls"," 5’8”","High Jump","Florida"
"1989","3A","Nicole Tunsil, Lakewood (St. Petersburg), 5’9”","Girls"," 5’9”","High Jump","Florida"
"1989","2A","Bettina Grice, Mount Dora, 5’6 1/4”","Girls"," 5’6 1/4”","High Jump","Florida"
"1989","A","Sue Zylstra, Westminster Christian (Miami), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1990","4A","Bernadette Martin, West Orange (Winter Garden), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1990","3A","Lisa Sampson, Boca Ciega (Gulfport), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1990","2A","Elizabeth Jones, Pahokee, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1990","A","Susan Lovegrove, Pensacola Christian, 5’0”","Girls"," 5’0”","High Jump","Florida"
"1991","4A","Kris Burley, Countryside (Clearwater), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1991","3A","Lisa Raynre, St. Thomas Aquinas (Fort Lauderdale), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1991","2A","Elizabeth Jones, Pahokee, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1991","A","Anna Hatton, Broward Christian (Plantation), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1992","4A","Robin Beecham, Miami Edison, 5’8”","Girls"," 5’8”","High Jump","Florida"
"1992","3A","Kissimmee Simmons, Citrus (Inverness), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1992","2A","Phyllis Brooks, Glades Central (Belle Glade), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1992","A","Charlene Adams, Lakeland Christian, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1993","4A","Robin Beecham, Miami Edison, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1993","3A","Kim Ginnie, McArthur (Hollywood), 5’5”","Girls"," 5’5”","High Jump","Florida"
"1993","2A","Cynthia Scott, Santa Fe (Alachua), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1993","A","Charlene Adams, Lakeland Christian, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1994","5A","Stephanie Van Hoff, Coral Gables, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1994","4A","Elisha Williams, Milton, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1994","3A","Byre McKallip, River Ridge (New Port Richey), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1994","2A","Tanesha Foster, Umatilla, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1994","A","Charlene Adams, Lakeland Christian, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1995","6A","Dorian Belton, Forrest (Jacksonville), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1995","5A","Kim Ginnie, McArthur (Hollywood), 5’5”","Girls"," 5’5”","High Jump","Florida"
"1995","4A","Andrea Gaines, Jones (Orlando), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1995","3A","Tanesha Foster, Umatilla, 5’5”","Girls"," 5’5”","High Jump","Florida"
"1995","2A","Stacy Kolb, Luther (Orlando), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1996","6A","Michaela Steele, Douglas (Parkland), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1996","5A","Anita Gilland, Hollywood Hills, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1996","4A","Brie Almeida, Lemon Bay (Englewood), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1996","3A","Loretta Sandy, Trenton, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1996","2A","Jamie Ostrov, Maclay (Tallahassee), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1997","6A","Jennifer Brown, Evans (Orlando), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1997","5A","Alicia Denson, Titusville, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1997","4A","Farah Jean-Pierre, Stranahan (Fort Lauderdale), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1997","3A","Jennifer Sweeney, Cocoa Beach, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1997","2A","Jamie Ostrov, Maclay (Tallahassee), 5’8 1/2”","Girls"," 5’8 1/2”","High Jump","Florida"
"1998","6A","Kelly Roloff, Barron Collier (Naples), 5’5”","Girls"," 5’5”","High Jump","Florida"
"1998","5A","Farah Jean-Pierre, Stranahan (Fort Lauderdale), 5’8”","Girls"," 5’8”","High Jump","Florida"
"1998","4A","Robin McClain, Jones (Orlando), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1998","3A","Brady, Bishop Verot (Fort Myers), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1998","2A","Jamie Ostrov, Maclay (Tallahassee), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1999","6A","Yolanda Whighan, Plant City, 5’06”","Girls"," 5’06”","High Jump","Florida"
"1999","5A","Alisha Denson, Titusville, 5’08”","Girls"," 5’08”","High Jump","Florida"
"1999","4A","C. Crespo, Wharton (Tampa), 5’06”","Girls"," 5’06”","High Jump","Florida"
"1999","3A","Francina Edmonds, Bolles (Jacksonville), 5’04”","Girls"," 5’04”","High Jump","Florida"
"1999","2A","Jamie Ostrov, Maclay (Tallahassee), 5’06”","Girls"," 5’06”","High Jump","Florida"
"2000","4A","Ann Larsen, Evans (Orlando), 5’6”","Girls"," 5’6”","High Jump","Florida"
"2000","3A","Shawna Luikart, Ridgewood (Orange Park), 5’4”","Girls"," 5’4”","High Jump","Florida"
"2000","2A","Francina Edmonds, Bolles (Jacksonville), 5’4”","Girls"," 5’4”","High Jump","Florida"
"2000","A","Kristy Hartley, St. John Neumann (Naples), 5’5”","Girls"," 5’5”","High Jump","Florida"
"2001","4A","Ann Larsen, Evans (Orlando), 5’6”","Girls"," 5’6”","High Jump","Florida"
"2001","3A","Marla Jackson, Stanton (Jacksonville), 5’6”","Girls"," 5’6”","High Jump","Florida"
"2001","2A","Megan Wallin, Cardinal Mooney (Sarasota), 5’2”","Girls"," 5’2”","High Jump","Florida"
"2001","A","Christina Stroud, Wewahitchka, 5’4”","Girls"," 5’4”","High Jump","Florida"
"2002","4A","Marquita Speller, Miami Killian, 5'4""","Girls"," 5'4""","High Jump","Florida"
"2002","3A","Kwonya Ferguson, Rockledge, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2002","2A","Carly Brown, Ransom Everglades (Miami), 5'4""","Girls"," 5'4""","High Jump","Florida"
"2002","A","Molly Jones, Maclay (Tallahassee), 5'5""","Girls"," 5'5""","High Jump","Florida"
"2003","4A","Viktoria Andonova, Coral Springs, 6'0""","Girls"," 6'0""","High Jump","Florida"
"2003","3A","Katie Sandmeyer, Estero, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2003","2A","Emily Kohler, Florida High (Tallahassee), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2003","A","Larissa McDonough, Father Lopez (Daytona Beach), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2004","4A","Viktoria Andonova, Coral Springs, 6'0""","Girls"," 6'0""","High Jump","Florida"
"2004","3A","Jenna Utecht, St. Thomas Aquinas (Fort Lauderdale), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2004","2A","Lou Tisha Hall, Immokalee, 5'4""","Girls"," 5'4""","High Jump","Florida"
"2004","1A","Melinda Hegman, Westminster Christian (Miami), 5'2""","Girls"," 5'2""","High Jump","Florida"
"2005","4A","Lizzie Harris, Miami Northwestern, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2005","3A","Jenna Utecht, St. Thomas Aquinas (Fort Lauderdale), 5'8""","Girls"," 5'8""","High Jump","Florida"
"2005","2A","Dina Emde, Pope John Paul II (Boca Raton), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2005","1A","Jessie Barker, Father Lopez (Daytona Beach), 5'0""","Girls"," 5'0""","High Jump","Florida"
"2006","4A","Krystle Schade, Piper (Sunrise), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2006","3A","Danielle Williams, Pensacola, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2006","2A","Loutishia Hall, Immokalee, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2006","1A","Caitlin Bowne, Coral Springs Christian, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2007","4A","Lizzie Harris, Miami Northwestern, 5'10""","Girls"," 5'10""","High Jump","Florida"
"2007","3A","Danielle Williams, Pensacola, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2007","2A","Monica Carney, South Lake (Groveland), 5'8""","Girls"," 5'8""","High Jump","Florida"
"2007","1A","Caitlin Bowne, Coral Springs Christian, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2008","4A","Maya Pressley, Coconut Creek, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2008","3A","Danielle Williams, Pensacola, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2008","2A","Shannon Smith, Cocoa, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2008","1A","Rachel Bowden, Seacrest Country Day (Naples), 5'4""","Girls"," 5'4""","High Jump","Florida"
"2009","4A","Courtney Anderson, Mariner (Cape Coral), 5'10""","Girls"," 5'10""","High Jump","Florida"
"2009","3A","Suhai Abdulhaleem, Terry Parker (Jacksonville), 5'10""","Girls"," 5'10""","High Jump","Florida"
"2009","2A","Sonnisha Williams, Raines (Jacksonville), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2009","1A","Nancy Anderson, Benjamin, (North Palm Beach), 5'4""","Girls"," 5'4""","High Jump","Florida"
"2010","4A","Courtney Capehart, Boone (Orlando), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2010","3A","Tikiera Relaford, Central (Brooksville), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2010","2A","Jordan Edwards, Tavares, 5'4""","Girls"," 5'4""","High Jump","Florida"
"2010","1A","Nancy Anderson, Benjamin (North Palm Beach), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2011","4A","Barbra Vilson, South Dade (Homestead), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2011","3A","Tikiera Releford, Central (Brooksville), 5'8""","Girls"," 5'8""","High Jump","Florida"
"2011","2A","Stacey Drilling, Bishop Kenny (Jacksonville), 5'4""","Girls"," 5'4""","High Jump","Florida"
"2011","1A","Alia Hammer, Calvary Christian (Fort Lauderdale),","Girls",NA,NA,"Florida"
"2012","4A","Faith Woodard, Riverview, 5'8""","Girls"," 5'8""","High Jump","Florida"
"2012","3A","Nicole Greene, Ponte Vedra, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2012","2A","Courtney Prengaman, Wesley Chapel, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2012","1A","Lauren Kilts, Mount Dora Bible, 5'6""","Girls"," 5'6""","High Jump","Florida"
"2013","4A","Faith Woodard, Freedom (Tampa), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2013","3A","Nicole Greene, Ponte Vedra, 5'5""","Girls"," 5'5""","High Jump","Florida"
"2013","2A","Logan Boss, Suwannee (Live Oak), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2013","1A","McKenzie Kilborne, Holy Trinity (Melbourne), 5'4""","Girls"," 5'4""","High Jump","Florida"
"2014","4A","Stacey Destin, Santaluces (Lantana), 5'8""","Girls"," 5'8""","High Jump","Florida"
"2014","3A","Talia Falco, Lakewood Ranch (Bradenton), 5'6""","Girls"," 5'6""","High Jump","Florida"
"2014","2A","Edquisha Alvin, Hallandale, 5'7""","Girls"," 5'7""","High Jump","Florida"
"2014","1A","Desiree' Nathe, Bishop McLaughlin (Spring Hill), 5'2""","Girls"," 5'2""","High Jump","Florida"
"2015","4A","Taylor Dames, Coral Reef, 5'8''","Girls"," 5'8''","High Jump","Florida"
"2015","3A","Nicole Greene, Ponte Vedra 5'10''","Girls"," 5'10''","High Jump","Florida"
"2015","2A","Joy Norman, Bayshore (Bradenton), 5'9''","Girls"," 5'9''","High Jump","Florida"
"2015","1A","Hannah Cogsil, Benjamin School (North Palm Beach), 5'4''","Girls"," 5'4''","High Jump","Florida"
"2016","4A","Ride Ryans, Lakewood Ranch (Bradenton), 5'6''","Girls"," 5'6''","High Jump","Florida"
"2016","3A","Briana Eskridge, Miami Northwestern, 5'8'' Glynes Hightower, Englewood (Jacksonville), 5’3”","Girls"," 5’3”","High Jump","Florida"
"1976","4A","Diane Butler, Ribault (Jacksonville), 5’3”","Girls"," 5’3”","High Jump","Florida"
"1976","3A","Michelle McCabe, Rockledge, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1976","2A","Sheryl Arnold, Zephyrhills, 4’10”","Girls"," 4’10”","High Jump","Florida"
"1976","A","Darline Leavy, Moore Haven, 4’7”","Girls"," 4’7”","High Jump","Florida"
"1977","4A","Jeneare Pounds, Lakewood (St. Petersburg), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1977","3A","Laure Patry, Fort Myers, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1977","2A","Amy Komar, Clearwater Central Catholic, 5’3”","Girls"," 5’3”","High Jump","Florida"
"1977","A","Susan Barber, Bell, 4’10”","Girls"," 4’10”","High Jump","Florida"
"1978","4A","Jeneare Pounds, Lakewood (St. Petersburg), 5’8”","Girls"," 5’8”","High Jump","Florida"
"1978","3A","Zsa Zsa Pratt, Titusville, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1978","2A","Amy Komar, Clearwater Central Catholic, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1978","A","Amy Cabaniss, Munson (Milton), 5’0”","Girls"," 5’0”","High Jump","Florida"
"1979","4A","Sybil Reddick, Jefferson, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1979","3A","Zsa Zsa Pratt, Titusville, 5’6 1/2”","Girls"," 5’6 1/2”","High Jump","Florida"
"1979","2A","Amy Komar, Clearwater Central Catholic, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1979","A","Allison Lanier, Trinity Prep (Winter Park), 5’1 3/4”","Girls"," 5’1 3/4”","High Jump","Florida"
"1980","4A","Sybil Reddick, Jefferson (Tampa), 5’8”","Girls"," 5’8”","High Jump","Florida"
"1980","3A","Elizabeth Spaulding, Sebring, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1980","2A","Gloria Gunter, Dunnellon, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1980","A","Allison Lanier, Trinity Prep (Winter Park), 5’5 1/4”","Girls"," 5’5 1/4”","High Jump","Florida"
"1981","4A","Renita Bailey, Columbia (Lake City), 5’8”","Girls"," 5’8”","High Jump","Florida"
"1981","3A","Elizabeth Spaulding, Sebring, 5’8”","Girls"," 5’8”","High Jump","Florida"
"1981","2A","Mary Stubbs, Immokalee, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1981","A","Karen Johnson, Lake Highland Prep (Orlando), 5’2”","Girls"," 5’2”","High Jump","Florida"
"1982","4A","Valerie Everett, Miami Southridge, 5’9”","Girls"," 5’9”","High Jump","Florida"
"1982","3A","Linda McGowan, Cocoa Beach, 5’6”","Girls"," 5’6”","High Jump","Florida"
"1982","2A","Mary Stubbs, Immokalee, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1982","A","Karen Johnson, Lake Highland Prep (Orlando), 5’1 1/4”","Girls"," 5’1 1/4”","High Jump","Florida"
"1983","4A","Lori Carroll, Lyman (Longwood), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1983","3A","Robin Kelly, St. Petersburg Catholic, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1983","2A","Mary Stubbs, Immokalee, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1983","A","Tammy Straughn, Pensacola Christian, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1984","4A","Lori Carroll, Lyman (Longwood), 5’8”","Girls"," 5’8”","High Jump","Florida"
"1984","3A","Tara Edwards, Hernando (Brooksville), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1984","2A","Sally Nowak, Westminster Christian (Miami), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1984","A","Tena Hauge, Mount Dora Bible, 5’2”","Girls"," 5’2”","High Jump","Florida"
"1985","4A","LaTashia Crews, King (Tampa), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1985","3A","Evette Lyman, Glades Central (Belle Glade), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1985","2A","Maria Galloni,  Holy Names (Tampa), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1985","A","Tena Hauge, Mount Dora Bible, 5’4”","Girls"," 5’4”","High Jump","Florida"
"1986","4A","Holly Kelly, Miami Palmetto, 5’10”","Girls"," 5’10”","High Jump","Florida"
"1986","3A","Nicole Tunsil, Lakewood (St. Petersburg), 5’6”","Girls"," 5’6”","High Jump","Florida"
"1986","2A","Rolanda Lee, DeSoto County (Arcadia), 5’4”","Girls"," 5’4”","High Jump","Florida"
"1986","A","Tena Hauge, Mount Dora Bible, 5’8”","Girls"," 5’8”","High Jump","Florida"
"1987","4A","Holly Kelly, Miami Palmetto, 5’10”","Girls"," 5’10”","High Jump","Florida"
"1987","3A","Nicole Tunsil, Lakewood (St. Petersburg),","Girls","5’6”","High Jump","Florida"
"2016","2A","Tiara McMinn,  Jackson (Jacksonville), 5'8''","Girls"," 5'8''","High Jump","Florida"
"2016","1A","Sara Carroll, Highlands Christian, 5'4''","Girls"," 5'4''","High Jump","Florida"
"2017","4A","Zatoria Thompson, St. Thomas Aquinas (Fort Lauderdale), 1.70m","Girls"," 1.70m","High Jump","Florida"
"2017","3A","Carshaylah Harrison, Northeast (Oakland Park), 1.67m","Girls"," 1.67m","High Jump","Florida"
"2017","2A","Tiara McMinn,  Jackson (Jacksonville), 1.80m","Girls"," 1.80m","High Jump","Florida"
"2017","1A","Delany Barnard, Tampa Prep, 1.60m","Girls"," 1.60m","High Jump","Florida"
"2018","4A","Zatoria Thompson, St. Thomas Aquinas (Fort Lauderdale), 1.67m","Girls"," 1.67m","High Jump","Florida"
"2018","3A","Tytavia Hardy, Washington (Pensacola). 1.67m","Girls","1.67m","High Jump","Florida"
"2018","2A","Hannah Kanjian, Oxbridge Academy (West Palm Beach), 1.62m","Girls"," 1.62m","High Jump","Florida"
"2018","1A","Semaj McGhee, Bishop Snyder (Jacksonville), 1.67m","Girls"," 1.67m","High Jump","Florida"
"2019","4A","Alyssa Jones, Miami Southridge, 5'9 3/4""","Girls"," 5'9 3/4""","High Jump","Florida"
"2019","3A","Shania Cromartie, Leon (Tallahassee), 5'3 3/4""","Girls"," 5'3 3/4""","High Jump","Florida"
"2019","2A","Emma Symonds,Villages, 5'3 3/4""","Girls"," 5'3 3/4""","High Jump","Florida"
"2019","1A","Cylee Wilson, Lakeland Christian, 5'3 3/4""","Girls"," 5'3 3/4""","High Jump","Florida"
"2001","4A","Dara Altman, Gaither (Tampa), 11’6”","Girls"," 11’6”","Pole Vault","Florida"
"2001","3A","Jennifer Laporte, Naples, 11’6”","Girls"," 11’6”","Pole Vault","Florida"
"2001","2A","Michelle Strauss, University (Fort Lauderdale), 11’0”","Girls"," 11’0”","Pole Vault","Florida"
"2001","A","Blair Newcomb, Northside Christian (St. Petersburg), 10’0”","Girls"," 10’0”","Pole Vault","Florida"
"2002","4A","Dara Altman, Gaither (Tampa), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2002","3A","Sara Reaves, Astronaut (Titusville), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2002","2A","Whitney Shepard, Lake Highland Prep (Orlando), 10'6""","Girls"," 10'6""","Pole Vault","Florida"
"2002","A","Michelle Strauss, University (Fort Lauderdale), 10'0""","Girls"," 10'0""","Pole Vault","Florida"
"2003","4A","Natalie Moser, Wharton (Tampa), 12'6""","Girls"," 12'6""","Pole Vault","Florida"
"2003","3A","Erica Hall, Leesburg, 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2003","2A","Hannah Richards, Key West, 10'9""","Girls"," 10'9""","Pole Vault","Florida"
"2003","A","Lori Bowen, Maclay (Tallahassee), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2004","4A","Caroline Kennedy, Boone (Orlando), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2004","3A","Erica Hall, Leesburg, 12'6""","Girls"," 12'6""","Pole Vault","Florida"
"2004","2A","Brittany Janson, Cardinal Mooney (Sarasota), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2004","1A","Lori Bowen, Maclay (Tallahassee), 11'3""","Girls"," 11'3""","Pole Vault","Florida"
"2005","4A","Caroline Kennedy, Boone (Orlando), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2005","3A","Megan Miller, Boca Raton, 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2005","2A","Daisy Glasser, Episcopal )(Jacksonville), 11'9""","Girls"," 11'9""","Pole Vault","Florida"
"2005","1A","Lori Bowen, Maclay (Tallahassee), 11'7""","Girls"," 11'7""","Pole Vault","Florida"
"2006","4A","Caroline Kennedy, Boone (Orlando), 12'9""","Girls"," 12'9""","Pole Vault","Florida"
"2006","3A","Kelly Schiefer, Gainesville, 10'6""","Girls"," 10'6""","Pole Vault","Florida"
"2006","2A","Daisy Glasser, Episcopal (Jacksonville), 12'6""","Girls"," 12'6""","Pole Vault","Florida"
"2006","1A","Megan Miller, FAU (Boca Raton), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2007","4A","Meagan Martin, Lake Mary, 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2007","3A","Vanessa Ziccardi, St. Thomas Aquinas (Fort Lauderdale), 10'6""","Girls"," 10'6""","Pole Vault","Florida"
"2007","2A","Daisy Glasser, Episcopal (Jacksonville), 12'5""","Girls"," 12'5""","Pole Vault","Florida"
"2007","1A","Katherine Register, South Walton (Santa Rosa Beach), 10'9""","Girls"," 10'9""","Pole Vault","Florida"
"2008","4A","Meagan Martin, Lake Mary, 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2008","3A","Keari Brink, Ridgewood (New Port Richey), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2008","2A","Katie Hered, Episcopal (Jacksonville), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2008","1A","Katherine Register, South Walton (Santa Rosa Beach), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2009","4A","Morgan Schershel, Gaither (Tampa), 11'7""","Girls"," 11'7""","Pole Vault","Florida"
"2009","3A","London Enos, Wharton (Tampa), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2009","2A","Paige Shirley, Episcopal (Jacksonville), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2009","1A","Kylee Skidmore, P. K. Yonge (Gainesville), 10'6""","Girls"," 10'6""","Pole Vault","Florida"
"2010","4A","London Enos, Wharton (Tampa), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2010","3A","Mallory Johnson, South Fork (Stuart), 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2010","2A","Paige Shirley, Episcopal (Jacksonville), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2010","1A","Lindsey Enders, Holy Trinity (Melbourne), 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2011","4A","Emily Gale, Cypress Bay (Weston), 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2011","3A","Cara Elyea, Lake Region (Eagle Lake), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2011","2A","Brittney Wagoner, Key West, 11'0""","Girls"," 11'0""","Pole Vault","Florida"
"2011","1A","Lindsey Enders, Holy Trinity (Melbourne), 12'10""","Girls"," 12'10""","Pole Vault","Florida"
"2012","4A","Erica Sergeant, Lake Mary, 12'0""","Girls"," 12'0""","Pole Vault","Florida"
"2012","3A","Anna Heinzman, Lecanto, 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2012","2A","Emily Smithwick, Episcopal (Jacksonville), 11'6""","Girls"," 11'6""","Pole Vault","Florida"
"2012","1A","Emily Gale, Calvary Christian (Fort Lauderdale), 12'6""","Girls"," 12'6""","Pole Vault","Florida"
"2013","4A","Erica Sergeant, Lake Mary, 11'6""","Girls"," 11'6""","Pole Vault","Florida"
